date,ES,NQ,ZN
2018-02-06,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-07,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-08,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-09,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-12,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-15,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-21,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-23,11.119421353431173,14.328145436429223,3.497441035645226
2018-02-26,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-02,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-05,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-06,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-07,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-08,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-09,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-12,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-13,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-14,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-21,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-22,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-23,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-26,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-27,11.119421353431173,14.328145436429223,3.497441035645226
2018-03-28,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-03,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-04,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-05,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-06,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-10,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-11,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-12,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-18,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-23,11.119421353431173,14.328145436429223,3.497441035645226
2018-04-25,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-02,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-03,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-04,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-08,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-09,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-11,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-14,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-16,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-17,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-22,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-23,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-24,11.119421353431173,14.328145436429223,3.497441035645226
2018-05-25,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-01,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-05,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-06,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-07,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-08,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-11,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-12,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-13,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-20,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-22,11.119421353431173,14.328145436429223,3.497441035645226
2018-06-27,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-02,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-03,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-05,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-06,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-09,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-10,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-11,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-12,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-13,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-18,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-23,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-24,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-25,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-26,11.119421353431173,14.328145436429223,3.497441035645226
2018-07-27,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-02,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-03,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-07,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-08,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-09,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-10,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-13,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-15,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-16,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-22,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-24,11.119421353431173,14.328145436429223,3.497441035645226
2018-08-29,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-04,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-05,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-06,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-07,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-10,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-11,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-12,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-13,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-14,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-24,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-25,11.119421353431173,14.328145436429223,3.497441035645226
2018-09-26,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-01,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-02,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-04,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-05,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-09,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-10,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-11,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-15,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-17,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-18,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-22,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-23,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-24,11.119421353431173,14.328145436429223,3.497441035645226
2018-10-29,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-01,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-02,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-05,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-06,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-07,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-08,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-09,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-12,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-13,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-14,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-19,10.873738837190709,13.876246754195666,3.5178143389622463
2018-11-23,9.478850017155212,11.075824256364797,3.8056735914216833
2018-11-27,9.478850017155212,11.075824256364797,3.8056735914216833
2018-11-28,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-03,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-04,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-06,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-07,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-11,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-12,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-13,9.478850017155212,11.075824256364797,3.8056735914216833
2018-12-19,6.03327341766986,4.369063204963804,4.891759665683795
2018-12-27,4.43741707036044,1.2698509996170975,5.038734832828738
2019-01-03,1.679710965553197,-3.6679671749576315,4.586693105614065
2019-01-04,1.403085629679416,-4.0761501652317,4.529539976383311
2019-01-07,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-08,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-09,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-10,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-11,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-14,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-16,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-17,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-22,1.2848140675162325,-4.259453855126233,4.4828167773096705
2019-01-23,1.2848140675162325,-4.259453855126233,4.4828167773096705
